alumno,curso,contenido,nota_numerica,evaluacion
10754604,3306172165,1109,8,01
10800028,3306172165,1109,8,01
10824007,3306172165,1109,7,01
10918602,3306172165,1109,7,01
10263154,3306172165,1109,8,01
13461591,3306172165,1109,8,01
10764144,3306172165,1007,7,01
10776549,3306172165,1007,9,01
10806298,3306172165,1007,7,01
10797573,3306172165,CVOPT,8,01
10365221,3306172165,CVOPT,8,01
10918602,3306172165,1708020,6,01
10918602,3306172165,1008,4,01
10530803,3306172165,CVOPT,9,01
13500949,3306172165,CVOPT,9,01
10263154,3306172165,1011,8,01
13500949,3306172165,1011,8,01
10805294,3306172165,1011,6,01
10745573,3306172330,1665039,10,01
10729539,3306172330,1665039,10,01
11627062,3306172330,1665039,8,01
10675936,3306172330,1665039,8,01
10745573,3306172330,0398,4,01
10707825,3306172330,0398,4,01
10679964,3306172330,0398,4,01
11627062,3306172330,0398,9,01
13455702,3306172330,0398,9,01
10745573,3306172330,1710,8,01
10679964,3306172330,1710,7,01
10585531,3306172330,1708039,7,01
13251013,3306172330,0400s,9,01
10729539,3306172330,0180,4,01
13455702,3306172330,0180,8,01
10415316,3306172330,0397,9,01
11627062,3306172330,0397,9,01
10675936,3306172330,0397,8,01
10687498,3306172410,0385,8,01
10808311,3306172410,0385,6,01
10761594,3306172410,0385,6,01
10687498,3306172410,0387,8,01
10808311,3306172410,0387,6,01
10742128,3306172410,0387,8,01
10742128,3306172410,0388s,7,01
13450196,3306172410,0388s,8,01
13450196,3306172410,1665039,9,01
13450196,3306172410,0386,8,01
10514139,3306172410,0386,9,01
10808311,3306172410,0386,7,01
11330085,3306172410,CVOPT,9,01
10514139,3306172410,CVOPT,9,01
10742128,3306172410,CVOPT,9,01
10736502,3306172410,CVOPT,10,01
11802023,3306170521,028504,7,01
11248638,3306170521,028504,8,01
13532312,3306170521,028001,9,01
11123109,3306170521,028001,3,01
11110518,3306170521,028100,7,01
11010717,3306170521,028100,9,01
11017524,3306170521,028100,7,01
11248638,3306170521,028501,8,01
10932027,3306170521,028501,1,01
10885786,3306170521,028501,1,01
13162439,3306170521,028001,10,01
10241444,3306170521,028001,8,01
13598555,3306170521,028001,9,01
11101503,3306170521,028503,4,01
10702316,3306170521,028503,4,01
10916309,3306170521,028503,4,01
10803834,3306170521,028503,4,01
10702316,3306170521,028502,8,01
11620907,3306170619,1375p,9,01
10305806,3306172484,0171,7,01
10379062,3306172484,0171,3,01
13607126,3306172484,0177,3,01
13593119,3306172484,0177,8,01
13593121,3306172484,0181p,9,01
13608590,3306172484,0181p,0,01
13593121,3306172484,0177,3,01
13602219,3306172484,0177,0,01
13608590,3306172484,1709,0,01
13605770,3306172484,0171,4,01
13458379,3306172332,0171,0,01
13460187,3306172332,1709,0,01
13593106,3306172332,0172,7,01
13455012,3306172403,0384,4,01
10892142,3306172403,0384,6,01
10698000,3306172053,1229,9,01
11099468,3306172053,1229,9,01
12404225,3306172167,1012p,0,01
10835229,3306172167,0623,6,01
10487345,3306172167,0931,7,01
10932250,3306172167,0931,7,01
10961331,3306172135,1709,8,01
10767809,3306172135,1709,8,01
10027352,3306172135,1709,8,01
10884465,3306172135,1709,8,01
10767809,3306172135,0625,7,01
11709509,3306172135,0625,6,01
10885568,3306172135,0625,4,01
10920099,3306172135,0625,8,01
13446594,3306169440,243270,8,01
11316053,3306169440,243270,9,01
10925591,3306173997,0439,6,01
13162455,3306173997,0439,6,01
13592648,3306173997,0439,7,01
13332555,3306173997,0439,8,01
10747126,3306173997,0439,8,01
12406107,3306173997,0437,7,01
13529587,3306173997,0437,7,01
10907141,3306173997,0437,6,01
11136115,3306173997,0437,7,01
13596973,3306174048,0650,7,01
10657315,3306174048,0650,9,01
10835742,3306174048,0650,0,01
13537130,3306174048,0647,3,01
11552430,3306174048,0647,5,01
12745122,3306174048,0649,6,01
12116573,3306174048,0179,9,01
10835742,3306174048,0649,0,01
10915302,3306169744,0369,7,01
10896459,3306169744,0369,8,01
10910205,3306169744,1709,8,01
11226702,3306169744,1709,9,01
10784937,3306169744,0372,9,01
10895404,3306169744,0372,10,01
13593151,3306169651,0179,9,01
10839683,3306169651,0179,0,01
10404419,3306169651,0179,9,01
10399842,3306169651,0373,8,01
13170302,3306169651,0373,0,01
11453697,3306169593,0156,8,01
11100333,3306169593,0223,8,01
13545139,3306169593,0222,9,01
10308852,3306169593,0222,4,01
11146537,3306169591,0226,9,01
13452408,3306169591,0226,10,01
11009276,3306169591,0226,3,01
11013828,3306169591,0226,6,01
11622314,3306169591,1713707,9,01
10993836,3306170617,1665061,10,01
10819488,3306170617,1665061,10,01
10122344,3306170617,1665061,10,01
10798915,3306170617,1665061,9,01
10809667,3306170617,1710,10,01
10635383,3306170617,1710,4,01
10546650,3306170617,CVOPT,8,01
10737175,3306173995,1713472,8,01
11004716,3306173995,1713472,9,01
11039273,3306173995,1713472,9,01
10737175,3306173995,1710,8,01
10929818,3306173995,1710,9,01
10960990,3306173995,1710,8,01
10929912,3306173995,0446,6,01
11029440,3306173995,0446,7,01
10244048,3306174046,0655,3,01
10679722,3306174046,0656,5,01
10679709,3306174046,0656,7,01
12332046,3306174046,0656,9,01
10802285,3306174046,0653,4,01
12465550,3306172060,CVOPT,6,01
13291541,3306172060,1710,9,01
12744964,3306172060,1710,6,01
10689201,3306172133,0823,6,01
10734184,3306172133,1710,10,01
10764144,3306172165,1665020,7,01
10819684,3306172165,1665020,8,01
10800028,3306172165,1665020,8,01
11782717,3306172482,1665039,7,01
11782717,3306172482,1710,7,01
10687498,3306172410,1710,7,01
13475662,3306172410,1665039,9,01
10514139,3306172410,0385,9,01
12912453,3306172410,1665039,7,01
12912453,3306172410,0385,9,01
12237928,3306170521,028001,10,01
10407199,3306170521,028505,4,01
13532312,3306170521,028502,8,01
11321038,3306170521,028100,0,01
13269119,3306170521,028504,9,01
