id_alumno,documento_hash,fecha_nac,sexo,estado_matricula,curso,grupo,turno
13250784,b44c28531a3325e94a971f390b809ce78fc6b0b50a8aa55cdaca755a5fd8b79a,16/04/2002,H,B,3003822407,2CFSI,D
10282698,21b9bacb308b1313604df9dc89ffd746e1e4f8253cd78ca0240a43c16570fb2c,24/06/1996,H,M,3003822456,2CFSO,S
10248785,c80fb65ab46f32080a66c75c5441823114578996f982211f94cea5a090ace446,20/03/2001,M,M,3003827240,2CFMG,S
11520867,bc55444c58a1d03381baca884ccfc8da5150449ce1d09c1958830491a016aa79,13/12/2004,H,M,3003822344,2CFMB,D
11484277,0c97e2328a1ef103e5fb4b11393cb27b905db042436b7c9501d521606f85d308,18/12/1972,H,M,3003828691,1CESCIB,D
10707734,2e146f2431b87490332981d5acf138fc08b65b3b3dba06790ca930318ea32b80,25/07/2005,H,M,3003822344,2CFMB,D
13245936,96c4bf44633d3a38588d1850935b9d00054e8c73d0c301943049b786e8e968bc,12/03/2001,M,M,3003828795,1CFSL,S
10804683,2d888cc284b8a85bd5a0dbab0ed8009e5d4d714100674b32acd5d4f1b64c6ec5,11/04/2003,H,M,3003822414,1CFSI,D
10805222,745f7a92a770f83c3b63a8ce108ea7a75a848dbd92d3d03663d79c755d31a044,09/01/2006,H,M,3003827240,2CFMA,D
10737209,500eac0ac9bdaa6eb36031f4b765aa86a9db78529f0691766dd3cf0f2d636d41,27/11/2005,M,B,3003829510, ,D
10884628,2fa970655c03743d798f37028e9deead7dbfaddbcdde88929f990edd159945b4,29/04/2007,M,M,3003829510,1CFME,D
12426107,90d52dbe27eb01a35d9875a57e73a80c11d81c5494050922d004e6484ae877aa,23/01/1971,M,M,3003829510,1CFMF,D
10788057,f1b0e771d4216104302be7beab9f3106ce78be82e601dc081989dc5d44b02d83,26/04/2006,M,M,3003829510,1CFME,D
10615480,17c5b114e5986d764916898a662f68ee409d611b4565e88569b6b5830dd1a934,12/09/1991,M,M,3003829510,1CFME,D
10898139,6043538a7dbbe951cef9c64eb78da27cace5745d5979541c7db1af9a0fe74896,11/01/2007,M,M,3003829510,1CFME,D
