anyo,codigo,nombre_cas,curso
2025_26,0400s,Proyecto intermodular 2 de Agencias de viajes,3306172330
2025_26,1665039,Digitalización aplicada al sistema productivo GS,3306172330
2025_26,TU02CF,Tutoría Segundo,3306172330
2025_26,0398,Venta de servicios turísticos,3306172330
2025_26,0180,Segunda lengua extranjera,3306172330
2025_26,0399,Dirección de entidades de intermedi,3306172330
2025_26,0397,Gestión de productos turísticos,3306172330
2025_26,1710,Itinerario personal para la empleabilidad II,3306172330
2025_26,1709,Itinerario personal para la empleabilidad I,3306172332
2025_26,0400p,Proyecto intermodular 1 de Agencias de viajes,3306172332
2025_26,TU01CF,Tutoría Primero,3306172332
2025_26,0179,Inglés profesional GS,3306172332
2025_26,0171,Estructura del mercado turístico,3306172332
2025_26,0383,Destinos turísticos,3306172332
2025_26,0384,Recursos turísticos,3306172332
2025_26,0172,Protocolo y relaciones públicas,3306172332
2025_26,0173,Marketing turístico,3306172332
2025_26,1665061,Digitalización aplicada al sistema productivo GS,3306170617
2025_26,1708061,Sostenibilidad aplicada al sistema productivo,3306170617
2025_26,CVOPT,Módulo optativo,3306170617
2025_26,1375s,Proyecto intermodular 2 de Laboratorio clínico y biomédico,3306170617
2025_26,TU02CF,Tutoría Segundo,3306170617
2025_26,1371,Análisis bioquímico,3306170617
2025_26,1372,Técnicas de inmunodiagnóstico,3306170617
2025_26,1373,Microbiología clínica,3306170617
2025_26,1374,Técnicas de análisis hematológico,3306170617
2025_26,1710,Itinerario personal para la empleabilidad II,3306170617
2025_26,1709,Itinerario personal para la empleabilidad I,3306170619
2025_26,1375p,Proyecto intermodular 1 de Laboratorio clínico y biomédico,3306170619
2025_26,TU01CF,Tutoría Primero,3306170619
2025_26,0179,Inglés profesional GS,3306170619
2025_26,1370,Fisiopatología general,3306170619
2025_26,1367,Gestión de muestras biológicas,3306170619
2025_26,1368,Técnicas generales de laboratorio,3306170619
2025_26,1369,Biología molecular y citogenética,3306170619
2025_26,1709,Itinerario personal para la empleabilidad I,3306172053
2025_26,TU01CF,Tutoría Primero,3306172053
2025_26,0156,Inglés profesional GM,3306172053
2025_26,1226,Marketing en la actividad comercial,3306172053
2025_26,1229,Gestión de compras,3306172053
2025_26,1231,Dinamización del punto de venta,3306172053
2025_26,1232,Procesos de venta,3306172053
2025_26,1233,Aplicaciones informáticas para el comercio,3306172053
