anyo,nombre_modulo,codigo_modulo,codigo_curso,nombre_curso,ciclo,grado,familia
2025_26,Proyecto de Gestión de alojamientos turísticos,0181,3306172373,Segundo,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Formación en Centros de Trabajo,0184,3306172373,Segundo,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Empresa e iniciativa emprendedora,0183,3306172373,Segundo,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Recepción y reservas,0176,3306172373,Segundo,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Comercialización de eventos,0178,3306172373,Segundo,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Gestión del departamento de pisos,0175,3306172373,Segundo,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Itinerario personal para la empleabilidad I,1709,3306172403,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,"Proyecto intermodular 1 de Guía, información y asistencia turísticas",0388p,3306172403,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Tutoría Primero,TU01CF,3306172403,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Inglés profesional GS,0179,3306172403,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Estructura del mercado turístico,0171,3306172403,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Destinos turísticos,0383,3306172403,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Recursos turísticos,0384,3306172403,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Protocolo y relaciones públicas,0172,3306172403,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Marketing turístico,0173,3306172403,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Sostenibilidad aplicada al sistema productivo,1708039,3306172410,Segundo,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Módulo optativo,CVOPT,3306172410,Segundo,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,"Proyecto intermodular 2 de Guía, información y asistencia turísticas",0388s,3306172410,Segundo,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Digitalización aplicada al sistema productivo GS,1665039,3306172410,Segundo,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Tutoría Segundo,TU02CF,3306172410,Segundo,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Segunda lengua extranjera,0180,3306172410,Segundo,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Servicios de información turística,0385,3306172410,Segundo,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Diseño de productos turísticos,0387,3306172410,Segundo,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Procesos de guía y asistencia,0386,3306172410,Segundo,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Itinerario personal para la empleabilidad II,1710,3306172410,Segundo,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Tutoría Primero,TU01CF,3306169433,Primero,ÓPTICA DE ANTEOJERÍA,GRADO SUPERIOR,FABRICACIÓN MECÁNICA
2025_26,Diseño y Fabr. Monturas Ópticas,243265,3306169433,Primero,ÓPTICA DE ANTEOJERÍA,GRADO SUPERIOR,FABRICACIÓN MECÁNICA
2025_26,"Anat., Fisiopatol. y Ametropias Oculares",243267,3306169433,Primero,ÓPTICA DE ANTEOJERÍA,GRADO SUPERIOR,FABRICACIÓN MECÁNICA
2025_26,At. Cliente Establ. Prod. Ópticos,243266,3306169433,Primero,ÓPTICA DE ANTEOJERÍA,GRADO SUPERIOR,FABRICACIÓN MECÁNICA
2025_26,Proc. Fabr. Lentes Oftalmológicas,243264,3306169433,Primero,ÓPTICA DE ANTEOJERÍA,GRADO SUPERIOR,FABRICACIÓN MECÁNICA
2025_26,Tutoría Segundo,TU02CF,3306169440,Segundo,ÓPTICA DE ANTEOJERÍA,GRADO SUPERIOR,FABRICACIÓN MECÁNICA
