anyo,alumno,curso,contenido,evaluacion,nota_numerica
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1232,2,1
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1232,FI,0
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1233,1,6
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1233,2,2
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1233,FI,0
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1709,1,7
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1709,2,2
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1709,FI,0
2024_25,03928a792f14d8ec0950b94433a5b12f4f4f82eea389ebf6d6825aed1046d8f0,3162079874,5071,1,0
2024_25,03928a792f14d8ec0950b94433a5b12f4f4f82eea389ebf6d6825aed1046d8f0,3162079874,5071,FI,0
2024_25,03928a792f14d8ec0950b94433a5b12f4f4f82eea389ebf6d6825aed1046d8f0,3162079874,5072,1,0
2024_25,03928a792f14d8ec0950b94433a5b12f4f4f82eea389ebf6d6825aed1046d8f0,3162079874,5072,FI,0
2024_25,03928a792f14d8ec0950b94433a5b12f4f4f82eea389ebf6d6825aed1046d8f0,3162079874,5073,1,0
2024_25,03928a792f14d8ec0950b94433a5b12f4f4f82eea389ebf6d6825aed1046d8f0,3162079874,5073,FI,0
2024_25,03928a792f14d8ec0950b94433a5b12f4f4f82eea389ebf6d6825aed1046d8f0,3162079874,5074,1,0
2024_25,03928a792f14d8ec0950b94433a5b12f4f4f82eea389ebf6d6825aed1046d8f0,3162079874,5074,FI,0
2024_25,03928a792f14d8ec0950b94433a5b12f4f4f82eea389ebf6d6825aed1046d8f0,3162079874,5075,1,0
2024_25,03928a792f14d8ec0950b94433a5b12f4f4f82eea389ebf6d6825aed1046d8f0,3162079874,5075,FI,0
2024_25,0404bfc4ec16c06027a74a5cee04b2212fefe428ffcdd1dc4723c623735d0dcb,3162079790,0653,1,0
2024_25,0404bfc4ec16c06027a74a5cee04b2212fefe428ffcdd1dc4723c623735d0dcb,3162079790,0653,FI,0
2024_25,0404bfc4ec16c06027a74a5cee04b2212fefe428ffcdd1dc4723c623735d0dcb,3162079790,0654,1,4
2024_25,0404bfc4ec16c06027a74a5cee04b2212fefe428ffcdd1dc4723c623735d0dcb,3162079790,0654,FI,0
2024_25,0404bfc4ec16c06027a74a5cee04b2212fefe428ffcdd1dc4723c623735d0dcb,3162079790,0655,1,0
2024_25,0404bfc4ec16c06027a74a5cee04b2212fefe428ffcdd1dc4723c623735d0dcb,3162079790,0655,FI,0
