anyo,nombre_cas,codigo,curso
2025,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3306169730
2025,Empresa e Iniciativa emprendedora,0381,3306169730
2025,Proyecto de Administración de Sistemas Informáticos en Red,0379,3306169730
2025,Seguridad y Alta Disponibilidad,0378,3306169730
2025,Servicios de Red e Internet,0375,3306169730
2025,Formación en Centros de Trabajo,0382,3306169730
2025,Administración de Sistemas Gestores de Bases de Datos,0377,3306169730
2025,Implantación de Aplicaciones Web,0376,3306169730
2025,Administración de Sistemas Operativos,0374,3306169730
2025,Itinerario personal para la empleabilidad I,1709,3306169744
2025,Proyecto intermodular 1 de Administración de Sistemas Informáticos en Red,0379p,3306169744
2025,Tutoría Primero,TU01CF,3306169744
2025,Inglés profesional GS,0179,3306169744
2025,Planificación y Administración de Redes,0370,3306169744
2025,Lenguajes de marcas y sistemas de gestión de información,0373,3306169744
2025,Fundamentos de Hardware,0371,3306169744
2025,Gestión de Bases de Datos,0372,3306169744
2025,Implantación de Sistemas Operativos,0369,3306169744
2025,Digitalización aplicada al sistema productivo GS,1665190,3306169751
2025,Sostenibilidad aplicada al sistema productivo,1708190,3306169751
2025,Módulo optativo,CVOPT,3306169751
2025,Proyecto intermodular 2 de Administración de Sistemas Informáticos en Red,0379s,3306169751
2025,Tutoría Segundo,TU02CF,3306169751
2025,Seguridad y Alta Disponibilidad,0378,3306169751
2025,Servicios de Red e Internet,0375,3306169751
2025,Administración de Sistemas Gestores de Bases de Datos,0377,3306169751
2025,Implantación de Aplicaciones Web,0376,3306169751
2025,Administración de Sistemas Operativos,0374,3306169751
2025,Itinerario personal para la empleabilidad II,1710,3306169751
2025,Proyecto Intermodular Gestión administrativa,1713472,3306173995
2025,Módulo optativo,CVOPT,3306173995
2025,Digitalización aplicada al sistema productivo GM,1664001,3306173995
2025,Sostenibilidad aplicada al sistema productivo,1708001,3306173995
2025,Tutoría Segundo,TU02CF,3306173995
2025,Empresa en el aula,0446,3306173995
2025,Tratamiento de la documentación contable,0443,3306173995
2025,Operaciones administrativas de recursos humanos,0442,3306173995
2025,Operaciones auxiliares de gestión de tesorería,0448,3306173995
2025,Itinerario personal para la empleabilidad II,1710,3306173995
2025,Itinerario personal para la empleabilidad I,1709,3306173997
2025,Tutoría Primero,TU01CF,3306173997
2025,Comunicación empresarial y atención al cliente,0437,3306173997
2025,Técnica contable,0441,3306173997
2025,Empresa y administración,0439,3306173997
2025,Operaciones administrativa de compra-venta,0438,3306173997
2025,Tratamiento informático de la información ,0440,3306173997
2025,Inglés profesional GM,0156,3306173997
2025,Tutoría Primero,TU01CF,3306174011
2025,Inglés Técnico I-M / Horario reservado para la docencia en inglés,CV0001,3306174011
2025,Comunicación empresarial y atención al cliente,0437,3306174011
2025,Formación y orientación laboral,0449,3306174011
2025,Técnica contable,0441,3306174011
2025,Empresa y administración,0439,3306174011
2025,Operaciones administrativa de compra-venta,0438,3306174011
2025,Tratamiento informático de la información ,0440,3306174011
2025,Inglés profesional GM,0156,3306174011
2025,Tutoría Segundo,TU02CF,3306174018
2025,Inglés Técnico II-M / Horario reservado para la docencia en inglés,CV0002,3306174018
2025,Empresa en el aula,0446,3306174018
2025,Tratamiento de la documentación contable,0443,3306174018
2025,Operaciones administrativas de recursos humanos,0442,3306174018
2025,Formación en centros de trabajo,0451,3306174018
2025,Operaciones auxiliares de gestión de tesorería,0448,3306174018
2025,Módulo optativo,CVOPT,3306174046
2025,Proyecto intermodular 2 de administración y finanzas,0657s,3306174046
2025,Digitalización aplicada al sistema productivo GS,1665001,3306174046
2025,Sostenibilidad aplicada al sistema productivo,1708001,3306174046
2025,Tutoría Segundo,TU02CF,3306174046
2025,Gestión logística y comercial,0655,3306174046
2025,Gestión de recursos humanos,0652,3306174046
2025,Gestión financiera,0653,3306174046
2025,Simulación empresarial,0656,3306174046
2025,Contabilidad y fiscalidad,0654,3306174046
2025,Itinerario personal para la empleabilidad II,1710,3306174046
2025,Itinerario personal para la empleabilidad I,1709,3306174048
2025,Proyecto intermodular 1 de Administración y Finanzas,0657p,3306174048
2025,Tutoría Primero,TU01CF,3306174048
2025,Inglés profesional GS,0179,3306174048
2025,Comunicación y atención al cliente,0651,3306174048
2025,Proceso integral de la actividad comercial,0650,3306174048
2025,Recursos humanos y responsabilidad social corporativa,0648,3306174048
2025,Ofimática y proceso de la información,0649,3306174048
2025,Gestión de la documentación jurídica y empresarial,0647,3306174048
2025,Tutoría Segundo,TU02CF,3306174099
2025,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3306174099
2025,Gestión logística y comercial,0655,3306174099
2025,Proyecto de administración y Finanzas,0657,3306174099
2025,Gestión de recursos humanos,0652,3306174099
2025,Gestión financiera,0653,3306174099
2025,Simulación empresarial,0656,3306174099
2025,Formación en Centros de Trabajo,0660,3306174099
2025,Contabilidad y fiscalidad,0654,3306174099
2025,Tutoría Primero,TU01CF,3306174106
2025,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306174106
2025,Inglés profesional GS,0179,3306174106
2025,Comunicación y atención al cliente,0651,3306174106
2025,Formación y orientación laboral,0658,3306174106
2025,Proceso integral de la actividad comercial,0650,3306174106
2025,Recursos humanos y responsabilidad social corporativa,0648,3306174106
2025,Ofimática y proceso de la información,0649,3306174106
2025,Gestión de la documentación jurídica y empresarial,0647,3306174106
2025,Tutoría Primero,TU01CF,3306170521
2025,Técnicas básicas de enfermería,028502,3306170521
2025,Promoción de la salud y apoyo psicológico al paciente,028504,3306170521
2025,Técnicas de ayuda odontológica/estomatológica,028505,3306170521
2025,Formación y orientación laboral,028001,3306170521
2025,Higiene del medio hospitalario y limpieza de material,028503,3306170521
2025,Operaciones administrativas y documentación sanitaria,028501,3306170521
2025,Relaciones en el equipo de trabajo,028100,3306170521
2025,Tutoría Segundo,TU02CF,3306170528
2025,Formación en Centros de Trabajo,028601,3306170528
2025,Estrategia de contenidos digitales,5123,3306171967
2025,Comunicación en redes sociales,5114,3306171967
2025,Redacción de contenidos digitales,5124,3306171967
2025,Sostenibilidad aplicada al sistema productivo,1708039,3306172330
